glycotoucan_id,Ka_Conarva (ConA-like)_x10e4_per_M,Ka_Galectin-3 (Human)_x10e4_per_M,Ka_Galectin-3 (Human) CRD_x10e4_per_M,Ka_PNA_x10e4_per_M,Ka_SBA_x10e4_per_M,Ka_WGA_x10e4_per_M
G01434UY,,0.358,,32.18,3.051,
G04681PT,53.389,0.777,0.648,,1.915,0.4
G06212IB,2.742,170.269,72.703,0.612,3.737,4.4
G06550JR,11.86,26.397,4.21,,3.724,2.5
G07558KL,,,,1.8,1.652,4.1
G07990UY,20.25,25.968,4.475,,3.614,
G08453FV,2.901,25.59,5.641,,2.224,0.6
G09126MW,0.317,7.567,1.277,2.356,5.492,3.4
G09362PR,8.977,,2.294,0.438,3.441,0.9
G10179FS,32.737,98.547,30.055,,6.278,0.2
G13974DV,31.291,,,,2.112,1.6
G15317IZ,,,0.309,,1.959,0.7
G16276IK,21.756,25.399,7.905,,3.568,
G16717IV,,,0.36,,1.051,1.8
G16768LX,14.346,92.279,19.237,,6.542,
G19083SI,36.22,,,,1.798,9.9
G19949UL,,1.21,0.399,,1.747,2.8
G21251LN,84.07,,0.12,0.07,2.07,5.4
G23361LI,,,,1.45,55.154,2.5
G24673RP,9.337,110.502,8.581,0.424,2.213,59.4
G25132GJ,2.356,82.96,13.672,,,
G25162JS,24.544,,2.588,0.71,6.527,2.9
G25268QT,2.997,49.847,10.556,2.071,3.178,1.9
G26039ES,,0.318,0.565,6.368,4.796,
G32915BP,12.843,26.815,5.465,,4.851,9.0
G35223CU,1.604,5.33,1.537,0.783,43.817,3.7
G35442CG,2.848,,,,1.743,7.3
G36876NJ,3.784,29.157,5.405,7.493,3.838,
G37918PT,2.46,29.934,5.879,,4.501,7.7
G38426SE,8.446,0.637,0.243,,1.012,0.1
G42830YF,,157.866,29.44,,10.008,1.5
G44327JQ,,135.393,25.92,,7.955,2.2
G48493JV,,82.254,39.36,,4.039,5.6
G49017YR,1.471,412.511,126.1,0.216,3.36,10.1
G49608TR,,,,1.336,1.787,2.1
G49859TR,6.498,36.425,5.97,,0.072,0.1
G50205RT,101.096,24.04,4.616,,3.288,4.6
G51497IR,1.93,13.959,3.007,,92.441,9.4
G52751JW,2.15,114.711,49.741,1.438,3.897,8.0
G53238US,4.443,,0.431,1.231,,4.7
G53812EH,3.345,60.027,12.543,0.072,0.6,
G53858MF,,,4.193,1.768,3.955,21.4
G54457LW,,,,1.672,1.771,5.3
G55979JS,4.653,,0.045,,4.228,
G57641IF,,,,22.932,3.185,1.5
G58350LJ,3.099,155.102,23.68,,8.127,2.4
G59487HS,0.592,21.577,4.659,7.922,5.454,2.5
G59707MY,3.495,,,1.367,0.921,
G60785FE,,,0.51,,0.773,1.5
G65070LF,1.034,1.923,,,3.468,3.3
G66257KQ,,0.72,0.024,,1.931,
G69176ID,,115.321,18.192,0.764,3.214,52.7
G69180XT,4.353,12.755,2.64,6.136,3.759,2.5
G70358QM,,,1.022,,1.96,6.3
G70374BH,2.106,24.358,3.925,,3.619,2.7
G71606HZ,77.266,79.389,10.772,,5.264,
G74026TS,,94.139,14.0,,,2.6
G74609HP,5.086,30.028,7.037,,0.968,
G75236EF,,157.012,20.48,,9.101,1.5
G75367YS,,,0.676,,2.16,3.9
G75829VK,,,0.164,64.261,3.749,1.5
G76283HO,0.035,,,0.794,63.508,
G76320TN,1.806,,,0.811,0.618,
G77220UE,,,,0.52,1.728,0.5
G77495MG,3.53,75.911,12.852,1.326,2.863,5.5
G77712UR,16.806,0.879,1.427,,2.942,
G78603EO,0.824,,,0.271,0.788,1189.905
G79446WY,46.715,23.93,3.703,,2.446,
G81436EU,41.605,1.869,,,1.85,4.5
G83131MU,39.172,29.569,6.319,,3.375,1.9
G83173HC,,190.782,72.83,2.073,4.876,3.6
G84053BQ,1.515,2.565,0.789,,1.757,0.2
G84440YT,150.011,85.292,12.383,2.159,7.161,0.4
G84783YG,66.538,,,,1.611,19.7
G86157UQ,,107.571,18.672,,7.547,1.4
G86906WK,1.481,91.463,21.432,0.285,0.029,1.6
G87825QP,,,,0.254,1.555,1357.904
G87832BF,3.01,45.004,8.242,7.475,3.226,
G88502NV,1.573,,,0.076,1.755,
G88981LD,,45.628,11.926,1.002,3.204,
G91556EH,3.317,,,,1.196,3.7
G92133LY,0.505,591.09,270.848,,3.106,21.5
G97553BW,,120.881,14.262,,,0.3
G97691ZT,3.344,75.013,19.03,0.344,2.136,
G98490BN,0.854,130.665,15.36,0.147,9.129,
G99242KO,2.514,,0.738,,4.182,6.0
